FID,OBJECTID,SHAPE,BEZEICHNUNG,BETREIBER,ADRESSE,WEBLINK1,TYP_TXT,TXTATT1,KONTAKT,SE_ANNO_CAD_DATA
KINDERGARTENOGD.876650,876650,POINT (16.28417893611163 48.189938585014545),Kinderkreis I,Verein Kinderwelt Hietzing,"13., Auhofstraße 78E",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876651,876651,POINT (16.25707474809313 48.203788959328136),Montess.-Verein Hütteldorf 2,Verein Montessori Verein Hütteldorf,"14., Hüttelbergstraße 5",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876652,876652,POINT (16.25707474809313 48.203788959328136),Montess.-Verein Hütteldorf 3,Verein Montessori Verein Hütteldorf,"14., Hüttelbergstraße 5",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876653,876653,POINT (16.33247526495357 48.21419640363096),Wohnhof Ottakring,Verein Wiener Kindergruppen,"16., Ottakringer Straße 49/2",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876654,876654,POINT (16.321431588747377 48.21602069283844),Kulturmosaik,"Verein ""Kulturmosaik - Kinder- und Familiengruppe""","16., Wilhelminenstraße 5",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876655,876655,POINT (16.328889388665377 48.20745891072046),VOLKSSCHULGRUPPE,"Miteinander Lernen - Beratungs- Bildungs- und Psychotherapiezentrum für Frauen, Kinder und Familien","16., Koppstraße 38",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876656,876656,POINT (16.349508790136717 48.229798256610934),Farbklecks,Verein Wiener Kindergruppen,"18., Anastasius-Grün-Gasse 3",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876657,876657,POINT (16.321701486770042 48.23637860787243),Hockegasse,Verein Wiener Kindergruppen,"18., Hockegasse 35",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876658,876658,POINT (16.33308276433254 48.228793572462365),Springinkerl,Verein Wiener Kindergruppen,"18., Köhlergasse 1-3",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876659,876659,POINT (16.31232660371939 48.22585301211462),Mit Kindern wachsen,Verein Wiener Kindergruppen,"17., Frauenfelderstraße 14-18",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876660,876660,POINT (16.325535343565022 48.2307181122504),Thimiggasse,"Verein ""Kindergruppe Thimiggasse""","18., Thimiggasse 27",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876661,876661,POINT (16.330764030864085 48.23290092675514),Montessori-Spielgruppe,Wettl Michaela,"18., Sternwartestraße 82",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876662,876662,POINT (16.3402912202808 48.24275932967242),Sonnbergzwerge,Verein Kindergruppe Sonnbergzwerge,"19., Weinberggasse 3",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876663,876663,POINT (16.387511694032742 48.26883805160118),Wohnen mit Kindern - WOMIKI,Verein Kindergruppe ´Wohnen mit Kindern´ - WOMIKI,"21., Jeneweingasse 32",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876664,876664,POINT (16.486131519047692 48.21765476235296),Kleine Löwen von Aspern,Verein Wiener Kindergruppen,"22., Siegesplatz 7",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876665,876665,POINT (16.46847593443281 48.23130108138027),Sonnenmaus,Verein Wiener Kindergruppen,"22., Hirschstettner Straße 126",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876666,876666,POINT (16.471978339573127 48.243752483920396),Kinderhaus Arnikaweg MOKI 1,Verein Kinderhaus Arnikaweg MOKI,"22., Arnikaweg 8/Haus 1",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876667,876667,POINT (16.28862871795813 48.13862378293009),Bambini-KH Mondgruppe,Verein zur Errichtung eines Montessori Kinderhauses Bambini,"23., Breitenfurter Straße 330",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876668,876668,POINT (16.333479629401143 48.14407204605893),Spieluphant I,"Verein Spieluphant - Spiel und Phantasie, Verein für Spielpädagogik und Animation","23., Zetschegasse 12",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876669,876669,POINT (16.4020163602714 48.1695377930046),Hoppel 1,Verein Montessori KG Hoppel di Poppel,"10., Uetzgasse 6",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876670,876670,POINT (16.351407261379403 48.22327834597032),WUK - Peregrina,"Verein Peregrina - Bildungs-, Beratungs- und Therapiezentrum für Migrantinnen","9., Währinger Straße 59/6",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876671,876671,POINT (16.35104403517886 48.223325967691096),WUK 1 Hortgruppe,Verein Kindergruppe WUK 1 - Hortgruppe,"9., Währinger Straße 59",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876672,876672,POINT (16.370631405254983 48.186513998869735),Montessori-KH SEZUTU I,´RespUmKinEl´ - Verein zur Förderung des respektvollen Umgangs mit Kindern und Eltern - Kinderhaus,"4., Schönburgstraße 27/2",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876673,876673,POINT (16.35588351216002 48.20414739316205),Kunterbunter Haufen - HORTgr.2,Verein Kinderkreis - Kunterbunter Haufen,"7., Kirchberggasse 18-20",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876674,876674,POINT (16.338863997575853 48.19919760020585),Buntspecht  2,Kinderkreis Buntspecht,"7., Neubaugürtel 22",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876675,876675,POINT (16.28862871795813 48.13862378293009),Bambini-KH Sonnengruppe,Verein zur Errichtung eines Montessori Kinderhauses Bambini,"23., Breitenfurter Straße 330",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876676,876676,POINT (16.28862871795813 48.13862378293009),Bambini-KH Planetengruppe,Verein zur Errichtung eines Montessori Kinderhauses Bambini,"23., Breitenfurter Straße 330",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.876677,876677,POINT (16.328889388665377 48.20745891072046),HAUPTSCHULGRUPPE,"Miteinander Lernen - Beratungs- Bildungs- und Psychotherapiezentrum für Frauen, Kinder und Familien","16., Koppstraße 38",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergruppe,Privat,,
KINDERGARTENOGD.877658,877658,POINT (16.309236561473046 48.189237776706904),Kindergarten,Wiener Kindergärten,"14., Penzinger Straße 33",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Öffentlich,+43 676 811 862 913,
KINDERGARTENOGD.877659,877659,POINT (16.328030083176237 48.19014381202821),Kindergarten,Wiener Kindergärten,"15., Dadlergasse 16",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Öffentlich,+43 676 811 862 705,
KINDERGARTENOGD.877660,877660,POINT (16.33478798293815 48.19047890200416),Kindergarten,Wiener Kindergärten,"15., Fünfhausgasse 16-18",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,Kindergarten 3-6 Jahre,Öffentlich,+43 676 811 862 696,
KINDERGARTENOGD.877661,877661,POINT (16.320305887975863 48.20045200565852),Kindergarten,Wiener Kindergärten,"15., Johnstraße 54",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Halbtagskindergarten 3-6 Jahre,<br>Familiengruppe 3-10 Jahre,<br>Hortgruppe 6-10 Jahre",Öffentlich,+43 676 811 862 660,
KINDERGARTENOGD.877662,877662,POINT (16.32324373259344 48.19618420126302),Kindergarten,Wiener Kindergärten,"15., Selzergasse 19",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,Heilpädagogischer Hort 6-10 Jahre,Öffentlich,+43 676 811 864 000,
KINDERGARTENOGD.877663,877663,POINT (16.321336521583568 48.18853489490754),Kindergarten,Wiener Kindergärten,"15., Siebeneichengasse 15",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Integrationskindergarten 3-6 Jahre",Öffentlich,+43 676 811 862 838,
KINDERGARTENOGD.877664,877664,POINT (16.321533860052373 48.19458896458037),Kindergarten,Wiener Kindergärten,"15., Wurmsergasse 10",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kindergarten 3-6 Jahre,<br>Familiengruppe 3-10 Jahre,<br>Hortgruppe 6-10 Jahre",Öffentlich,+43 676 811 862 648,
KINDERGARTENOGD.877665,877665,POINT (16.321083920571603 48.21447876978112),Kindergarten,Wiener Kindergärten,"16., Arnethgasse 30",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Öffentlich,+43 676 811 861 115,
KINDERGARTENOGD.877666,877666,POINT (16.332675766461026 48.21202779683281),Kindergarten,Wiener Kindergärten,"16., Gaullachergasse 49-51",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kindergarten 3-6 Jahre,<br>Integrationshort 6-10 Jahre",Öffentlich,+43 676 811 862 132,
KINDERGARTENOGD.877667,877667,POINT (16.33142460174973 48.20997380258218),Kindergarten,Wiener Kindergärten,"16., Liebhartsgasse 54-56",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 3-10 Jahre",Öffentlich,+43 676 811 862 089,
KINDERGARTENOGD.877668,877668,POINT (16.307092457580183 48.20689934842809),Kindergarten,Wiener Kindergärten,"16., Maderspergerstraße 1",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Integrationskindergarten 3-6 Jahre",Öffentlich,+43 676 811 862 137,
KINDERGARTENOGD.877669,877669,POINT (16.305079762497492 48.22381002298223),Kindergarten,Wiener Kindergärten,"16., Rosenackerstraße 5",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Integrationskindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Hortgruppe 6-10 Jahre,<br>Integrationshort 6-10 Jahre",Öffentlich,+43 676 811 861 314,
KINDERGARTENOGD.877670,877670,POINT (16.31392109170268 48.129626541407916),Kindergarten,Wiener Kindergärten,"23., Akaziengasse 44-50",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Halbtagskindergarten 3-6 Jahre,<br>Hortgruppe 6-10 Jahre",Öffentlich,+43 676 811 861 838,
KINDERGARTENOGD.877671,877671,POINT (16.316355911832908 48.15296967820124),Kindergarten,Wiener Kindergärten,"23., Anton-Baumgartner-Straße 44/Alt Erlaa-Ost",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Familiengruppe 3-10 Jahre,<br>Hortgruppe 6-10 Jahre",Öffentlich,+43 676 811 862 573,
KINDERGARTENOGD.877700,877700,POINT (16.393747744418345 48.14820304536321),Kindergarten,Wiener Kindergärten,"10., Wendstattgasse 4a",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Halbtagskindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Familiengruppe 3-10 Jahre,<br>Hortgruppe 6-10 Jahre",Öffentlich,+43 676 811 864 790,
KINDERGARTENOGD.877701,877701,POINT (16.387624133807645 48.17461634557262),Kindergarten,Wiener Kindergärten,"10., Laimäckergasse 18/Haus II",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kindergarten 3-6 Jahre,<br>Halbtagskindergarten 3-6 Jahre,<br>Familiengruppe 3-10 Jahre,<br>Integrationshort 6-10 Jahre",Öffentlich,+43 676 811 864 800,
KINDERGARTENOGD.877702,877702,POINT (16.378297831120594 48.155901162239076),Kindergarten,Wiener Kindergärten,"10., Holeyplatz 3",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 3-10 Jahre,<br>Hortgruppe 6-10 Jahre",Öffentlich,+43 676 811 864 911,
KINDERGARTENOGD.877703,877703,POINT (16.367031176629403 48.15501720593534),Kindergarten,Wiener Kindergärten,"10., Herschelgasse 3",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Heilpädagogischer Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Familiengruppe 3-10 Jahre",Öffentlich,+43 676 811 864 748,
KINDERGARTENOGD.877704,877704,POINT (16.36908059644211 48.17849727130397),Kindergarten,Wiener Kindergärten,"10., Gudrunstraße 163a",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Halbtagskindergarten 3-6 Jahre,<br>Integrationshort 6-10 Jahre",Öffentlich,+43 676 811 864 308,
KINDERGARTENOGD.877705,877705,POINT (16.3895371517602 48.14757096609914),Kindergarten,Wiener Kindergärten,"10., Bergtaidingweg 11",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Familiengruppe 3-10 Jahre",Öffentlich,+43 676 811 862 601,
KINDERGARTENOGD.877706,877706,POINT (16.308489453156557 48.21956791984954),Kindergarten,Wiener Kindergärten,"16., Franz-Peyerl-Gasse 3",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kindergarten 3-6 Jahre,<br>Hortgruppe 6-10 Jahre",Öffentlich,+43 676 811 862 953,
KINDERGARTENOGD.877707,877707,POINT (16.335319380373974 48.17172192829968),Kindergarten,Wiener Kindergärten,"12., Wienerbergstraße 16",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kindergarten 3-6 Jahre,<br>Integrationshort 6-10 Jahre",Öffentlich,+43 676 811 862 810,
KINDERGARTENOGD.877708,877708,POINT (16.34399722088508 48.17093061118514),Kindergarten,Wiener Kindergärten,"12., Rotdornallee 5",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Öffentlich,+43 676 811 862 170,
KINDERGARTENOGD.877709,877709,POINT (16.29133180729229 48.191358199725414),Kindergarten,Kindercompany,"14., Penzinger Straße 150",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,
KINDERGARTENOGD.877710,877710,POINT (16.31143305650767 48.15397777328098),Kindergarten,Kindercompany,"23., Karl-Heinz-Straße 67",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,
KINDERGARTENOGD.877711,877711,POINT (16.321636949360308 48.13730336535428),Kindergarten,Kindercompany,"23., Perfektastraße 23",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,
KINDERGARTENOGD.877712,877712,POINT (16.394987826416653 48.146172994190344),Kindergarten,Wiener Kinderfreunde,"10., Franz-Koci-Straße 4/7",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,+43 1 689 88 89,
KINDERGARTENOGD.877713,877713,POINT (16.347466565535697 48.15378657833484),Kindergarten,Wiener Kinderfreunde,"10., Fürstenhoferstraße 4",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Privat,+43 1 615 51 95,
KINDERGARTENOGD.877714,877714,POINT (16.378554348365558 48.16705009035906),Kindergarten,Wiener Kinderfreunde,"10., Hebbelplatz 3",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kindergarten 3-6 Jahre,<br>Halbtagskindergarten 3-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,+43 1 603 20 52,
KINDERGARTENOGD.877715,877715,POINT (16.3530177602816 48.172174207591816),Kindergarten,Wiener Kinderfreunde,"10., Knöllgasse 56-60",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergarten 3-6 Jahre,Privat,+43 1 606 42 73,
KINDERGARTENOGD.877716,877716,POINT (16.362623268467797 48.16079341867207),Kindergarten,Wiener Kinderfreunde,"10., Neilreichgasse 115/b/25",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,+43 1 616 35 80,
KINDERGARTENOGD.877717,877717,POINT (16.33652683212428 48.183264914192165),Kindergarten,Wiener Kinderfreunde,"12., Arndtstraße 45",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Halbtagskindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,+43 1 815 95 42,
KINDERGARTENOGD.877718,877718,POINT (16.333746034124083 48.17544942205923),Kindergarten,Wiener Kinderfreunde,"12., Eichenstraße 58-64",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Privat,+43 1 81 21 665,
KINDERGARTENOGD.877719,877719,POINT (16.294356881817787 48.16609898994847),Kindergarten,Wiener Kinderfreunde,"12., Atzgersdorfer Straße 95-97",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Familiengruppe 3-10 Jahre",Privat,+43 1 804 49 11,
KINDERGARTENOGD.877720,877720,POINT (16.326363770816588 48.17820393191389),Kindergarten,Wiener Kinderfreunde,"12., Ruckergasse 40",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Halbtagskindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,+43 1 815 20 98,
KINDERGARTENOGD.877721,877721,POINT (16.344667979394732 48.18381057045816),Kindergarten,Wiener Kinderfreunde,"12., Steinbauergasse 4-6",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergarten 3-6 Jahre,Privat,+43 1 810 55 55,
KINDERGARTENOGD.877722,877722,POINT (16.32381286604782 48.15828447164884),Kindergarten,Wiener Kinderfreunde,"12., Zanaschkagasse 16",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Halbtagskindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,+43 1 667 09 48,
KINDERGARTENOGD.877723,877723,POINT (16.276896808241734 48.185715184644565),Kindergarten,Wiener Kinderfreunde,"13., Goldmarkplatz 1",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Halbtagskindergarten 3-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,+43 1 877 03 93,
KINDERGARTENOGD.877724,877724,POINT (16.31361723051465 48.18508816868432),Kindergarten,Wiener Kinderfreunde,"13., Schloß Schönbrunn ´Hofküchentrakt´",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Halbtagskindergarten 3-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,+43 1 813 95 64,
KINDERGARTENOGD.877725,877725,POINT (16.288964244522468 48.203064595362555),Kindergarten,Wiener Kinderfreunde,"14., Achtundvierzigerplatz .",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Privat,+43 1 911 32 43,
KINDERGARTENOGD.877726,877726,POINT (16.26817228693292 48.19677812114698),Kindergarten,Wiener Kinderfreunde,"14., Cossmanngasse 30",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Privat,+43 1 911 37 55,
KINDERGARTENOGD.877727,877727,POINT (16.329223912892026 48.19997129589343),Kindergarten,Wiener Kinderfreunde,"15., Hütteldorfer Straße 16-22",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Halbtagskindergarten 3-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,+43 1 789 65 96,
KINDERGARTENOGD.877728,877728,POINT (16.315456970136644 48.20587439969801),Kindergarten,Wiener Kinderfreunde,"15., Mareschgasse 17-19",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,+43 1 789 44 72,
KINDERGARTENOGD.877729,877729,POINT (16.329658823243218 48.1891573594237),Kindergarten,Wiener Kinderfreunde,"15., Oelweingasse 3-5",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Halbtagskindergarten 3-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,+43 1 893 02 75,
KINDERGARTENOGD.877731,877731,POINT (16.309700940798354 48.21394972479173),Kindergarten,Wiener Kinderfreunde,"16., Ottakringer Straße 200",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Familiengruppe 0-6 Jahre,<br>Familiengruppe 3-10 Jahre",Privat,+43 1 486 53 47,
KINDERGARTENOGD.877732,877732,POINT (16.333134804778666 48.208328287419214),Kindergarten,Wiener Kinderfreunde,"16., Hofferplatz 3",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,+43 1 493 98 47,
KINDERGARTENOGD.877733,877733,POINT (16.314329028325993 48.1402521940841),Kindergarten,Wiener Kinderfreunde,"23., Carlbergergasse 72",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Halbtagskindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,+43 1 867 34 52,
KINDERGARTENOGD.877734,877734,POINT (16.33508381089155 48.15831137962855),Kindergarten,Wiener Kinderfreunde,"23., Gutheil-Schoder-Gasse 15",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,+43 1 662 73 75,
KINDERGARTENOGD.877735,877735,POINT (16.290643357818855 48.14515353920089),Kindergarten,Wiener Kinderfreunde,"23., Steinergasse 25",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Familiengruppe 3-10 Jahre",Privat,+43 1 869 01 03,
KINDERGARTENOGD.877736,877736,POINT (16.282874849653343 48.14170506198976),Kindergarten,Wiener Kinderfreunde,"23., Wagenmanngasse 3",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kindergarten 3-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,+43 1 888 25 72,
KINDERGARTENOGD.877737,877737,POINT (16.329004960431607 48.209417631751414),Evangelisches Hilfswerk,Diakonie Bildungs gem GmbH,"16., Habichergasse 46",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergarten 3-6 Jahre,Privat,49 459 46,
KINDERGARTENOGD.877738,877738,POINT (16.28216600762515 48.13917653980778),Evangelisches Hilfswerk in Österreich,Diakonie Bildungs gem GmbH,"23., Mehlführergasse 14",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergarten 3-6 Jahre,Privat,,
KINDERGARTENOGD.877739,877739,POINT (16.368371419794794 48.18105955181606),Institut Neulandschulen,Vereinigung katholischer Kindertagesheime,"10., Alxingergasse 4-8",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Hortgruppe 6-10 Jahre,Privat,+43 1 604 37 45/38,
KINDERGARTENOGD.877740,877740,POINT (16.36835988971201 48.18025852891871),Institut Neulandschulen,Vereinigung katholischer Kindertagesheime,"10., Alxingergasse 10",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,
KINDERGARTENOGD.877741,877741,POINT (16.378413221036446 48.169699191151516),Pfarre St. Anton von Padua,St. Nikolausstiftung Erzdiözese Wien,"10., Angeligasse 18c",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,
KINDERGARTENOGD.877742,877742,POINT (16.348090891804745 48.17460524999411),Pfarrkindergarten d. Pfarre Katharina v. Siena,St. Nikolausstiftung Erzdiözese Wien,"10., Kundratstraße 7",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,
