FID,OBJECTID,SHAPE,ADRESSE,BEZIRK,STOCK,INFO,HINWEIS,SE_ANNO_CAD_DATA
DEFIBRILLATOROGD.22110,22110,POINT (16.35763690048043 48.188089777068946),"5., Viktor-Christ-Gasse 19",5,,,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22063,22063,POINT (16.357826776197548 48.211924982482415),"1., Ebendorferstraﬂe 2",1,,neben Portiersloge,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22064,22064,POINT (16.35603269905069 48.21061653013016),"1., Friedrich-Schmidt-Platz 1",1,,MA-48 Garage,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22065,22065,POINT (16.356727859086714 48.21106907317457),"1., Rathaus /8",1,Stock 1,"Gang, Bereich Arztraum Top 321",Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22066,22066,POINT (16.357518574651518 48.21105233854565),"1., Rathaus /2",1,,"Feststiege 2, zw den T¸ren zum Festsaal",Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22067,22067,POINT (16.356922579831966 48.210329604906555),"1., Rathaus /5",1,Stock 1,"Roter Salon, Posten Rathauswache",Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22068,22068,POINT (16.357692151817478 48.210651779760994),"1., Rathaus ",1,Arkadenhof,"Arkadenhof, bei Behindertenrampe, Eingg. Volkshalle",Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22069,22069,POINT (16.357930002908926 48.21131532836649),"1., Rathaus /4",1,Stock 1,Gangbreich bei MA-9 Bibliothek,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22070,22070,POINT (16.355535093901945 48.208817970708566),"1., Rathausstraﬂe 1",1,Stock 5,Gang,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22071,22071,POINT (16.355535093901945 48.208817970708566),"1., Rathausstraﬂe 1",1,Stock 7,MD-KS,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22072,22072,POINT (16.355535093901945 48.208817970708566),"1., Rathausstraﬂe 1",1,Erdgesch.,Sicherheitszentrale,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22073,22073,POINT (16.3569030035946 48.21210108264334),"1., Rathausstraﬂe 14-16",1,,neben Portiersloge,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22074,22074,POINT (16.3569030035946 48.21210108264334),"1., Rathausstraﬂe 14-16",1,Stock 4,visavis Aufzug,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22075,22075,POINT (16.356530402840562 48.21204859532404),"1., Rathausstraﬂe 9",1,,Gangbereich,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22076,22076,POINT (16.357974477526383 48.205845567447064),"1., Volksgartenstraﬂe 1-3",1,,Portiersbereich,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22077,22077,POINT (16.371016562463808 48.211800038441865),"1., Wipplingerstraﬂe 6-8",1,,Portiersbereich,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22078,22078,POINT (16.371016562463808 48.211800038441865),"1., Wipplingerstraﬂe 6-8",1,Stock 2,im Bereich der Anschlagtafel,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22079,22079,POINT (16.387604558848672 48.23004119465804),"2., Dresdnerstraﬂe 119",2,,MA 48 Mistplatz,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22080,22080,POINT (16.375165052030113 48.22815084543953),"2., Karl Meiﬂl Straﬂe ",2,,Familienbad Augarten,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22081,22081,POINT (16.379714715981518 48.21650611161251),"2., Karmelitergasse 9",2,,Portiersbereich,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21921,21921,POINT (16.371009851020805 48.2329679602039),"20., Brigittaplatz 10",20,,Portiersbereich,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21922,21922,POINT (16.382066388903493 48.23498021573953),"20., Dresdnerstraﬂe 73-75",20,Erdgesch.,EG Sanit‰tsraum neben Zi 10,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21923,21923,POINT (16.382066388903493 48.23498021573953),"20., Dresdnerstraﬂe 73-75/3",20,Stock 2,"Stiege 3, 2.Stk Aufzugsbereich",Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21924,21924,POINT (16.382066388903493 48.23498021573953),"20., Dresdnerstraﬂe 73-75/2",20,Stock 4,"Stiege 2, 4.Stk Ausgangsbereich bei EH-Koffer",Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21925,21925,POINT (16.382505022343004 48.23400849919303),"20., Dresdnerstraﬂe 82",20,Stock 2,2.OG bei Aufzug,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21926,21926,POINT (16.37234939097324 48.246942783055495),"20., Hopsagasse 7",20,,beim Hallenwart,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21927,21927,POINT (16.364951399386882 48.23562599022298),"20., Klosterneuburgerstraﬂe 93-97",20,,Brigittenauerbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21928,21928,POINT (16.385420498821052 48.23631486698041),"20., Leystraﬂe 85",20,,MA-48 Garage 20,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21929,21929,POINT (16.37906540361838 48.23815061328958),"20., Winarskystraﬂe 12",20,Erdgesch.,links bei Top E17,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21930,21930,POINT (16.39728663834324 48.25775914710989),"21., Am Spitz 1",21,,Portiersbereich,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21931,21931,POINT (16.403240717569915 48.24877387859356),"21., An der Oberen Alten Donau ",21,,Angelibad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21932,21932,POINT (16.402399826742503 48.25455841998924),"21., Franklinstraﬂe 22",21,,Hallenbad Floridsdorf,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21933,21933,POINT (16.411756819698308 48.25011931839251),"21., Fultonstraﬂe 10",21,,MA-48 Mistplatz,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21934,21934,POINT (16.3885822364024 48.261527420988045),"21., Jedleseerstraﬂe 74",21,,beim Hallenwart,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21935,21935,POINT (16.448793469730024 48.27387408009163),"21., Oswald-Redlichstraﬂe 44",21,,Hallenbad Groﬂfeldsiedlung,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21936,21936,POINT (16.44474851004302 48.27132229759607),"21., Pastorstraﬂe 29",21,,beim Hallenwart,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21937,21937,POINT (16.437123009030127 48.27381510193591),"21., Schererstraﬂe ",21,,MA-48 Mistplatz,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21938,21938,POINT (16.411589637152037 48.30023108563444),"21., Luckenschwemmgasse ",21,,Familienbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21939,21939,POINT (16.43025990876223 48.29367976106029),"21., Stammersdorfer Straﬂe ",21,,MA-48 Mistplatz,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21940,21940,POINT (16.38468910829881 48.292654912779035),"21., Schwarzenauweg ",21,,Familienbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21941,21941,POINT (16.41680151844483 48.24218423759769),"22., Arbeiter Strandbad Straﬂe 91",22,,Sommerbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21942,21942,POINT (16.41680151844483 48.24218423759769),"22., Arbeiter Strandbad Straﬂe 91",22,,Sommerbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21943,21943,POINT (16.50004991745199 48.25109241128788),"22., Breitenleerstraﬂe 268",22,,MA-48 Mistplatz,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21944,21944,POINT (16.527774135467098 48.214910582339535),"22., Cortigasse vis a vis ",22,,MA-48 Mistplatz,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21945,21945,POINT (16.45385080610907 48.230492369210104),"22., Dr.Otto Neurath Gasse 1",22,,MA-48 Bazar,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21946,21946,POINT (16.45087497320464 48.23023008180774),"22., Erzherzog-Karl-Straﬂe 108",22,,beim Hallenwart,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21947,21947,POINT (16.45750038737815 48.25752920941738),"22., Lieblgasse 6",22,,beim Hallenwart,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21948,21948,POINT (16.44430583691908 48.27343354699211),"21., Pastorstraﬂe 22",21,,Arztzimmer,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21949,21949,POINT (16.428236791264297 48.22822672274648),"22., Moissigasse 21",22,,Strandbad G‰nseh‰ufel S¸dstrand FKK,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21950,21950,POINT (16.428236791264297 48.22822672274648),"22., Moissigasse 21",22,,Strandbad G‰nseh‰ufel EH Station,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21951,21951,POINT (16.428236791264297 48.22822672274648),"22., Moissigasse 21",22,,Strandbad G‰nseh‰ufel Weststrand,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21952,21952,POINT (16.44795583825193 48.21329631592376),"22., M¸hlwasserstraﬂe 2",22,,MA-48 Mistplatz,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21953,21953,POINT (16.465510529146023 48.2629708854481),"22., Percostraﬂe 2",22,,MA-48 Abfallbehandlungsanlage,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21954,21954,POINT (16.466984086478377 48.26483148852568),"22., Percostraﬂe 2",22,,MA-48 Mistplatz,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21955,21955,POINT (16.442983033041234 48.24276765772773),"22., Portnergasse 38",22,,Hallenbad Donaustadt,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21956,21956,POINT (16.47475800017161 48.26065895490198),"22., Rautenweg 83",22,,MA-48 Deponie,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21957,21957,POINT (16.437826951820213 48.24112456457579),"22., Schrˆdingerplatz 1",22,Erdgesch.,neben Aufzug,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21958,21958,POINT (16.437772686852785 48.24100523603277),"22., Schrˆdingerplatz 1",22,Stock 2,"Gang bei Stiegenhaus, neben Feuerlˆscher",Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21959,21959,POINT (16.436199125315394 48.247139364424385),"22., Steigenteschgasse 1",22,,beim Hallenwart,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21960,21960,POINT (16.314514724722255 48.151824434266274),"23., Anton Baumgartner Straﬂe 44",23,,beim Hallenwart,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21961,21961,POINT (16.285809461194916 48.147516163676535),"23., Endresstraﬂe 24-26",23,,Hˆpflerbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21962,21962,POINT (16.282144595527868 48.13485786221935),"23., Perchtoldsdorfer Straﬂe 2",23,,Portiersbereich,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21963,21963,POINT (16.282334697061795 48.13460782526502),"23., Perchtoldsdorfer Straﬂe 1",23,,beim Hallenwart,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21964,21964,POINT (16.28111189889537 48.13265401601043),"23., Perchtoldsdorfer Straﬂe 14-16",23,,Liesingerbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21965,21965,POINT (16.293381511819277 48.13795936729962),"23., Seybelgasse ",23,,MA-48 Mistplatz,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21966,21966,POINT (16.331836049031697 48.18115282198779),"12., Niederhofstraﬂe 21-23/1/2",12,,Front Niederhofstr. Zw Stg 1 u Stg 2 gg¸ Zi 103,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21967,21967,POINT (16.331948133093835 48.181141721216825),"12., Niederhofstraﬂe 21-23",12,Stock 3,neben Zi 309,Bitte ÷ffnungszeiten beachten,
